step,return
10000,820.6647338867188
20000,864.371337890625
30000,807.1234741210938
40000,852.9823608398438
50000,838.76611328125
60000,872.53564453125
70000,895.196044921875
80000,1010.9697265625
90000,1065.2210693359375
100000,1129.829345703125
110000,1060.1075439453125
120000,1000.7574462890625
130000,1101.7586669921875
140000,1093.2320556640625
150000,956.1524658203125
160000,984.7239990234375
170000,1060.494384765625
180000,1053.3590087890625
190000,1030.01416015625
200000,1133.7098388671875
210000,1053.9886474609375
220000,968.7224731445312
230000,1095.0733642578125
240000,1091.1693115234375
250000,1101.2415771484375
260000,931.750732421875
270000,969.8636474609375
280000,1011.4242553710938
290000,751.8651733398438
300000,1007.8922729492188
310000,752.9738159179688
320000,698.7526245117188
330000,1003.2152099609375
340000,939.3151245117188
350000,1183.1512451171875
360000,907.4515991210938
370000,1080.5126953125
380000,1052.74609375
390000,820.1345825195312
400000,1149.589111328125
410000,1120.9521484375
420000,1053.8753662109375
430000,1111.3536376953125
440000,926.2352294921875
450000,1081.467041015625
460000,1180.505126953125
470000,1113.521484375
480000,1270.8482666015625
490000,1130.5390625
500000,1180.90576171875
510000,1453.94140625
520000,1157.5916748046875
530000,1158.266845703125
540000,1250.6668701171875
550000,1083.3968505859375
560000,1362.7762451171875
570000,1257.936279296875
580000,1355.1640625
590000,1337.4840087890625
600000,1233.320068359375
610000,1222.9163818359375
620000,1473.7509765625
630000,1716.1646728515625
640000,1439.8753662109375
650000,1670.543212890625
660000,1769.031005859375
670000,1777.5037841796875
680000,1918.790771484375
690000,1917.73193359375
700000,1680.6024169921875
710000,1618.85888671875
720000,1624.489013671875
730000,2199.961181640625
740000,2173.53271484375
750000,1891.3089599609375
760000,1730.52587890625
770000,2128.054931640625
780000,2211.085205078125
790000,2183.573974609375
800000,2363.2177734375
810000,2343.2158203125
820000,2438.0693359375
830000,2456.2744140625
840000,2291.14208984375
850000,2511.38916015625
860000,2351.097900390625
870000,2796.3056640625
880000,2681.3671875
890000,2909.7490234375
900000,2806.473876953125
910000,2499.485107421875
920000,2834.628662109375
930000,2704.92578125
940000,2898.7919921875
950000,2959.009765625
960000,2688.44677734375
970000,2964.219482421875
980000,2983.583740234375
990000,2755.863037109375
1000000,2342.68408203125
1010000,3112.306884765625
1020000,2876.883056640625
1030000,2903.94287109375
1040000,2435.49365234375
1050000,2912.31689453125
1060000,3199.939453125
1070000,3122.528564453125
1080000,3247.3037109375
1090000,3263.088623046875
1100000,3247.617919921875
1110000,2966.455322265625
1120000,3280.14697265625
1130000,3261.94140625
1140000,3350.407470703125
1150000,3307.7509765625
1160000,3279.919921875
1170000,3338.902099609375
1180000,3367.5869140625
1190000,3384.30126953125
1200000,3292.069580078125
1210000,3365.434326171875
1220000,3371.35986328125
1230000,3409.4140625
1240000,3412.72216796875
1250000,3465.98486328125
1260000,3406.09375
1270000,3367.981689453125
1280000,3360.76318359375
1290000,3425.142578125
1300000,3461.95654296875
1310000,3480.759521484375
1320000,3478.380126953125
1330000,3441.255615234375
1340000,3444.953125
1350000,3472.044921875
1360000,3284.187744140625
1370000,3501.9951171875
1380000,3460.035400390625
1390000,3472.958251953125
1400000,3474.561767578125
1410000,3403.16259765625
1420000,3525.9765625
1430000,3513.926513671875
1440000,3509.253662109375
1450000,3523.16796875
1460000,3503.21826171875
1470000,3502.028564453125
1480000,3534.37841796875
1490000,3383.6240234375
1500000,3532.894287109375
1510000,3531.650634765625
1520000,3439.92236328125
1530000,3553.336181640625
1540000,3546.979248046875
1550000,3513.23291015625
1560000,3591.81298828125
1570000,3487.42626953125
1580000,3534.119873046875
1590000,3532.787109375
1600000,3559.398681640625
1610000,3554.461669921875
1620000,3601.825927734375
1630000,3613.30322265625
1640000,3584.778076171875
1650000,3553.433349609375
1660000,3638.775390625
1670000,3587.758544921875
1680000,3626.220458984375
1690000,3545.562744140625
1700000,3599.7958984375
1710000,3646.788330078125
1720000,3588.28759765625
1730000,3644.942138671875
1740000,3633.35888671875
1750000,3640.460205078125
1760000,3657.302001953125
1770000,3636.70751953125
1780000,3689.748291015625
1790000,3677.845947265625
1800000,3685.459716796875
1810000,3665.580078125
1820000,3636.220947265625
1830000,3642.36767578125
1840000,3700.810791015625
1850000,3676.065185546875
1860000,3688.147216796875
1870000,3701.94677734375
1880000,3672.7880859375
1890000,3652.698974609375
1900000,3733.841064453125
1910000,3743.894775390625
1920000,3724.474609375
1930000,3730.5751953125
1940000,3733.45068359375
1950000,3700.659912109375
1960000,3751.898681640625
1970000,3712.267822265625
1980000,3756.12158203125
1990000,3766.005615234375
2000000,3743.48583984375
2010000,3741.81005859375
2020000,3772.711669921875
2030000,3805.254638671875
2040000,3754.727294921875
2050000,3713.391845703125
2060000,3792.194580078125
2070000,3770.78271484375
2080000,3841.822998046875
2090000,3813.1064453125
2100000,3778.34033203125
2110000,3846.988525390625
2120000,3832.002685546875
2130000,3798.800048828125
2140000,3864.717041015625
2150000,3817.428955078125
2160000,3843.347900390625
2170000,3846.80322265625
2180000,3845.269775390625
2190000,3877.783203125
2200000,3810.189453125
