step,return
10000,777.5662231445312
20000,830.3693237304688
30000,863.21044921875
40000,820.3845825195312
50000,845.0306396484375
60000,880.031005859375
70000,920.4688110351562
80000,1027.4986572265625
90000,1101.381591796875
100000,1050.72216796875
110000,1015.7468872070312
120000,1022.3858642578125
130000,927.385009765625
140000,904.6615600585938
150000,836.6039428710938
160000,949.56005859375
170000,862.04150390625
180000,880.0859985351562
190000,964.7506103515625
200000,964.46923828125
210000,896.697509765625
220000,992.8178100585938
230000,820.7379760742188
240000,918.2386474609375
250000,951.9701538085938
260000,1000.1588745117188
270000,906.87841796875
280000,985.1863403320312
290000,834.6813354492188
300000,1025.9677734375
310000,972.4916381835938
320000,857.5157470703125
330000,819.504150390625
340000,947.4725341796875
350000,535.6637573242188
360000,955.0565795898438
370000,1142.3284912109375
380000,1084.727783203125
390000,834.6204223632812
400000,1187.939453125
410000,952.0258178710938
420000,1040.1220703125
430000,1079.3448486328125
440000,1217.5875244140625
450000,1375.331787109375
460000,1232.533935546875
470000,1101.8253173828125
480000,1099.8828125
490000,898.296142578125
500000,911.9713134765625
510000,1305.398193359375
520000,1455.6932373046875
530000,1720.6136474609375
540000,1604.47216796875
550000,1940.0057373046875
560000,1566.8438720703125
570000,1772.86669921875
580000,1847.4703369140625
590000,1646.009765625
600000,1919.408447265625
610000,1868.0986328125
620000,1922.75341796875
630000,2380.392822265625
640000,1819.5614013671875
650000,2128.997802734375
660000,2078.86328125
670000,2360.432861328125
680000,2193.4609375
690000,1995.569091796875
700000,2186.922607421875
710000,2629.312255859375
720000,2410.71923828125
730000,2431.0712890625
740000,2253.52587890625
750000,2517.46533203125
760000,2742.71142578125
770000,2093.1953125
780000,2613.8447265625
790000,2026.757080078125
800000,2684.61181640625
810000,2401.603759765625
820000,2727.69140625
830000,2937.74072265625
840000,1814.8402099609375
850000,2924.487548828125
860000,2931.10546875
870000,3033.335205078125
880000,2882.310791015625
890000,2705.477294921875
900000,3035.667724609375
910000,2720.818603515625
920000,3017.2314453125
930000,3095.702392578125
940000,3020.341552734375
950000,2941.20703125
960000,3015.46240234375
970000,3095.145263671875
980000,2847.134521484375
990000,3220.498291015625
1000000,3139.336181640625
1010000,3224.675537109375
1020000,3075.5400390625
1030000,3198.903076171875
1040000,3162.352783203125
1050000,3286.6396484375
1060000,3230.94287109375
1070000,3256.584228515625
1080000,3285.919189453125
1090000,3267.70068359375
1100000,3197.184326171875
1110000,3386.89794921875
1120000,3402.50830078125
1130000,3401.178466796875
1140000,3313.965087890625
1150000,3281.33740234375
1160000,3434.74365234375
1170000,3433.96875
1180000,2962.63623046875
1190000,3407.98095703125
1200000,3030.276123046875
1210000,3127.541015625
1220000,3495.251220703125
1230000,3476.03515625
1240000,3462.038818359375
1250000,3517.53466796875
1260000,3204.8134765625
1270000,3561.193603515625
1280000,3534.91748046875
1290000,3487.628173828125
1300000,3301.287109375
1310000,3555.05126953125
1320000,3548.2138671875
1330000,3270.55322265625
1340000,3423.76123046875
1350000,3593.73779296875
1360000,3581.917236328125
1370000,3571.10107421875
1380000,3623.756103515625
1390000,3644.811279296875
1400000,3614.8759765625
1410000,3637.0576171875
1420000,3647.15869140625
1430000,3657.855224609375
1440000,3628.487060546875
1450000,3683.27001953125
1460000,3690.33251953125
1470000,3712.08544921875
1480000,3683.0693359375
1490000,3653.9765625
1500000,3716.226318359375
1510000,3785.778076171875
1520000,3732.780029296875
1530000,3750.058837890625
1540000,3771.15673828125
1550000,3781.78564453125
1560000,3725.780029296875
1570000,3757.614013671875
1580000,3600.122802734375
1590000,3801.0615234375
1600000,3792.60546875
1610000,3676.285400390625
1620000,3786.06640625
1630000,3780.744384765625
1640000,3790.74755859375
1650000,3796.00439453125
1660000,3781.176025390625
1670000,3483.044189453125
1680000,3678.23974609375
1690000,3802.9111328125
1700000,3820.570068359375
1710000,3776.340087890625
1720000,3821.623291015625
1730000,3677.396484375
1740000,3793.6884765625
1750000,3847.1943359375
1760000,3847.879150390625
1770000,3853.382080078125
1780000,3623.495361328125
1790000,3808.49365234375
1800000,3852.788330078125
1810000,3885.310791015625
1820000,3889.59228515625
1830000,3879.52734375
1840000,3919.362548828125
1850000,3918.199462890625
1860000,3892.793701171875
1870000,3889.044677734375
1880000,3571.321044921875
1890000,3894.353271484375
1900000,3931.001708984375
1910000,3912.3134765625
1920000,3893.383544921875
1930000,3933.511474609375
1940000,3875.284423828125
1950000,3930.709228515625
1960000,3981.91455078125
1970000,3977.93701171875
1980000,3929.202880859375
1990000,3980.91650390625
2000000,3802.25830078125
2010000,3907.4228515625
2020000,3983.7841796875
2030000,3938.63525390625
2040000,3940.8955078125
2050000,3958.61669921875
2060000,3955.028564453125
2070000,3925.9208984375
2080000,3957.37060546875
2090000,3947.911865234375
2100000,3983.492919921875
2110000,3986.59716796875
2120000,3886.1748046875
2130000,3974.59765625
2140000,3957.045166015625
2150000,4011.908447265625
2160000,3950.7587890625
2170000,3963.824462890625
2180000,3991.162353515625
2190000,3959.019287109375
2200000,3976.781494140625
2210000,3957.049072265625
2220000,3609.472900390625
2230000,3949.4658203125
2240000,3971.076416015625
2250000,3990.080078125
2260000,4011.277587890625
2270000,3981.2265625
2280000,3977.07568359375
2290000,3960.639892578125
2300000,3707.9873046875
2310000,4016.915771484375
2320000,3979.447998046875
2330000,4013.488525390625
2340000,3975.474609375
2350000,4006.31689453125
