step,return
10000,952.4142456054688
20000,966.8305053710938
30000,983.6290283203125
40000,1001.9580078125
50000,963.3975830078125
60000,1078.849609375
70000,1188.34619140625
80000,1070.685302734375
90000,1041.308349609375
100000,1154.9288330078125
110000,1251.6220703125
120000,1034.93115234375
130000,1033.6571044921875
140000,1017.68408203125
150000,1004.9639892578125
160000,912.059814453125
170000,916.1830444335938
180000,938.6505126953125
190000,985.4180908203125
200000,895.3274536132812
210000,975.290283203125
220000,936.8666381835938
230000,1010.1610107421875
240000,764.65478515625
250000,911.1524047851562
260000,1078.303466796875
270000,856.6015625
280000,1007.053955078125
290000,769.6533203125
300000,616.3794555664062
310000,916.5636596679688
320000,831.731201171875
330000,551.6947021484375
340000,838.350341796875
350000,841.2699584960938
360000,766.42919921875
370000,663.9498901367188
380000,578.2011108398438
390000,1096.5032958984375
400000,971.9866943359375
410000,605.777587890625
420000,825.1345825195312
430000,395.9591064453125
440000,331.1403503417969
450000,973.5942993164062
460000,1155.3076171875
470000,709.8871459960938
480000,1289.2261962890625
490000,1059.001220703125
500000,678.2340698242188
510000,1018.2569580078125
520000,1293.973388671875
530000,1118.1357421875
540000,1224.9990234375
550000,1847.9532470703125
560000,1514.3948974609375
570000,1426.324951171875
580000,1539.4912109375
590000,593.611328125
600000,1250.34814453125
610000,969.9498901367188
620000,1010.7593383789062
630000,1836.409912109375
640000,804.5526123046875
650000,1334.5888671875
660000,985.929443359375
670000,1372.9322509765625
680000,1396.5130615234375
690000,1715.955322265625
700000,1397.0321044921875
710000,1473.44921875
720000,1189.9742431640625
730000,1475.664306640625
740000,1777.1700439453125
750000,1494.0245361328125
760000,1143.09912109375
770000,1964.8365478515625
780000,1810.1414794921875
790000,2080.955810546875
800000,1968.167236328125
810000,1531.349853515625
820000,2435.052001953125
830000,2126.093994140625
840000,2760.128662109375
850000,1788.9803466796875
860000,1698.3973388671875
870000,1882.47216796875
880000,2276.31396484375
890000,1503.140869140625
900000,1963.5400390625
910000,2842.705810546875
920000,1949.2972412109375
930000,1954.56494140625
940000,3047.85107421875
950000,2646.065673828125
960000,2745.308837890625
970000,2889.3740234375
980000,3112.353271484375
990000,2694.782958984375
1000000,2522.837646484375
1010000,1732.1278076171875
1020000,3111.3076171875
1030000,2402.532958984375
1040000,3307.238037109375
1050000,3001.948486328125
1060000,3042.880126953125
1070000,3296.7109375
1080000,3371.0986328125
1090000,3127.770751953125
1100000,3226.15869140625
1110000,3027.537841796875
1120000,3325.85888671875
1130000,3392.390625
1140000,3368.553955078125
1150000,3154.496826171875
1160000,3301.865966796875
1170000,3339.446044921875
1180000,3414.084716796875
1190000,3275.6708984375
1200000,3399.8515625
1210000,3577.15087890625
1220000,3112.645263671875
1230000,3506.635498046875
1240000,3534.25390625
1250000,3511.597900390625
1260000,3503.036376953125
1270000,3468.45849609375
1280000,3512.36572265625
1290000,3545.914794921875
1300000,3368.452880859375
1310000,3445.996826171875
1320000,3616.618896484375
1330000,3668.052978515625
1340000,3627.457275390625
1350000,3396.2138671875
1360000,3668.26806640625
1370000,3655.337890625
1380000,3537.547119140625
1390000,3701.00048828125
1400000,3643.171630859375
1410000,3732.243408203125
1420000,3671.160888671875
1430000,3696.5224609375
1440000,3651.091064453125
1450000,3738.516357421875
1460000,3749.857177734375
1470000,3708.927734375
1480000,3747.443603515625
1490000,3655.845947265625
1500000,3746.31884765625
1510000,3741.9130859375
1520000,3757.71923828125
1530000,3783.247802734375
1540000,3800.382080078125
1550000,3730.72021484375
1560000,3768.512451171875
1570000,3750.41015625
1580000,3732.565673828125
1590000,3712.515869140625
1600000,3785.244873046875
1610000,3782.497314453125
1620000,3719.54150390625
1630000,3790.61669921875
1640000,3819.389892578125
1650000,3817.560791015625
1660000,3768.76318359375
1670000,3840.85498046875
1680000,3874.0654296875
1690000,3869.93994140625
1700000,3869.557373046875
1710000,3891.629150390625
1720000,3867.871826171875
1730000,3857.989013671875
1740000,3921.626708984375
1750000,3851.66357421875
1760000,3918.652099609375
1770000,3926.77783203125
1780000,3918.962646484375
1790000,3895.546142578125
1800000,3942.68896484375
1810000,3917.435546875
1820000,3939.520751953125
1830000,3936.779052734375
1840000,3926.09912109375
1850000,3965.587158203125
1860000,3969.413330078125
1870000,3957.06103515625
1880000,3934.659912109375
1890000,3987.238525390625
1900000,3973.26123046875
1910000,3985.06884765625
1920000,3557.681396484375
1930000,3964.3984375
1940000,3942.417724609375
1950000,3934.944091796875
1960000,3987.146240234375
1970000,3575.939453125
1980000,3989.674072265625
1990000,4018.718017578125
2000000,4023.0068359375
2010000,4008.0361328125
2020000,4043.55712890625
2030000,4051.18603515625
2040000,3961.634521484375
2050000,3994.45654296875
2060000,4049.837890625
2070000,3618.747802734375
2080000,4044.35888671875
2090000,4010.37109375
2100000,3972.29736328125
2110000,4003.4111328125
2120000,3258.5517578125
2130000,4012.7314453125
2140000,4031.7314453125
2150000,3634.01513671875
2160000,3788.8193359375
2170000,3947.954833984375
2180000,4080.408935546875
2190000,4090.861572265625
2200000,4060.45166015625
2210000,4097.33349609375
2220000,3967.851806640625
2230000,4000.66357421875
2240000,4068.865234375
2250000,4062.094482421875
2260000,3730.2041015625
2270000,4073.671630859375
2280000,4009.46728515625
2290000,3852.8359375
2300000,3478.398193359375
2310000,4015.9033203125
2320000,4113.8349609375
2330000,3715.98046875
2340000,3696.9599609375
2350000,4062.959716796875
2360000,4092.69775390625
2370000,3706.423828125
2380000,3808.0830078125
2390000,3685.55078125
2400000,3720.34033203125
2410000,4098.39599609375
2420000,4001.99951171875
2430000,4080.9814453125
2440000,4092.3544921875
2450000,4024.5458984375
2460000,3909.589111328125
2470000,4079.770263671875
2480000,4062.2587890625
2490000,4072.0283203125
