step,return
10000,952.7059326171875
20000,973.0285034179688
30000,966.6255493164062
40000,892.23876953125
50000,962.2056274414062
60000,1067.9251708984375
70000,1198.22802734375
80000,1175.75830078125
90000,1082.701416015625
100000,1246.0704345703125
110000,1208.49853515625
120000,1208.49365234375
130000,1099.4044189453125
140000,1030.308349609375
150000,1002.404052734375
160000,1007.1338500976562
170000,1010.1549072265625
180000,1076.3455810546875
190000,972.0729370117188
200000,967.16845703125
210000,997.2539672851562
220000,916.5926513671875
230000,723.5189819335938
240000,518.1502075195312
250000,717.043212890625
260000,809.728515625
270000,789.9302978515625
280000,855.5413818359375
290000,817.7637329101562
300000,554.921630859375
310000,567.542236328125
320000,635.3828735351562
330000,871.642578125
340000,446.9094543457031
350000,617.1981811523438
360000,755.9319458007812
370000,745.5987548828125
380000,891.4937133789062
390000,731.6127319335938
400000,793.8162231445312
410000,999.6731567382812
420000,684.404296875
430000,983.7495727539062
440000,911.9756469726562
450000,813.7508544921875
460000,807.0957641601562
470000,828.7051391601562
480000,560.1741943359375
490000,1001.7056884765625
500000,700.4036865234375
510000,992.4677124023438
520000,933.0856323242188
530000,1041.2305908203125
540000,821.9848022460938
550000,875.8536376953125
560000,949.3825073242188
570000,1037.5833740234375
580000,909.3151245117188
590000,1079.4117431640625
600000,699.4940795898438
610000,985.5350341796875
620000,1120.1365966796875
630000,1091.4439697265625
640000,944.4774780273438
650000,1010.5555419921875
660000,1107.5057373046875
670000,1308.161865234375
680000,1100.909423828125
690000,1045.5389404296875
700000,1406.127685546875
710000,1201.8399658203125
720000,1377.8614501953125
730000,1282.173828125
740000,1833.351806640625
750000,1266.093994140625
760000,1062.072998046875
770000,1001.510986328125
780000,893.260986328125
790000,1133.430419921875
800000,1172.5745849609375
810000,1415.303955078125
820000,1060.29443359375
830000,1426.7650146484375
840000,876.8392944335938
850000,1273.3892822265625
860000,1190.2325439453125
870000,1235.812255859375
880000,1346.6328125
890000,1539.841064453125
900000,1627.07177734375
910000,1163.4615478515625
920000,2309.802001953125
930000,1806.1666259765625
940000,2294.62060546875
950000,2454.365234375
960000,1878.0810546875
970000,2092.7626953125
980000,2314.3046875
990000,2021.47900390625
1000000,2217.235595703125
1010000,2635.27490234375
1020000,1782.409423828125
1030000,2451.776123046875
1040000,2328.207763671875
1050000,2333.720458984375
1060000,2746.602783203125
1070000,2689.183837890625
1080000,2758.19189453125
1090000,2367.243896484375
1100000,2496.958251953125
1110000,2458.50341796875
1120000,2893.689697265625
1130000,2810.596923828125
1140000,2535.523681640625
1150000,2924.96923828125
1160000,2577.1572265625
1170000,2945.58154296875
1180000,2784.21240234375
1190000,2670.14306640625
1200000,2597.32373046875
1210000,2925.267333984375
1220000,2998.168701171875
1230000,3043.709716796875
1240000,3004.488525390625
1250000,3065.6982421875
1260000,2722.8125
1270000,2527.61962890625
1280000,2715.10302734375
1290000,3035.394287109375
1300000,2628.322265625
1310000,2844.6318359375
1320000,2853.07080078125
1330000,3156.170166015625
1340000,2880.561767578125
1350000,2966.1591796875
1360000,3201.6533203125
1370000,3074.8984375
1380000,3185.73779296875
1390000,3140.720947265625
1400000,3223.78125
1410000,3201.668701171875
1420000,2971.227783203125
1430000,3136.9482421875
1440000,2450.75537109375
1450000,3278.766357421875
1460000,2922.687255859375
1470000,3224.415283203125
1480000,3190.93212890625
1490000,3067.8212890625
1500000,2871.45849609375
1510000,3261.30517578125
1520000,3217.78076171875
1530000,3308.36083984375
